childid,age,Total_Duration_mins,Average_Duration_mins
401,7,55.2000,13.80000000
196,5,48.6000,9.72000000
2303,4,45.0000,1.45161290
2918,5,3.1667,0.79166667
2312,10,27.8333,1.03086420
1223,22,24.2333,0.69238095
3033,16,0.4667,0.46666667
383,3,56.8833,14.22083333
3667,3,0.6333,0.21111111
3048,16,0.4167,0.03787879
1255,21,0.5667,0.05666667
3406,18,0.2833,0.28333333
1973,3,2.9667,0.11410256
1393,2,1.0833,0.21666667
2359,0,5.4667,0.04408602
1303,5,19.0667,0.05252525
3145,5,4.3333,0.12037037
3786,4,0.5833,0.07291667
756,5,0.2167,0.10833333
2907,5,0.2333,0.11666667
3262,1,0.3667,0.18333333
3292,5,0.2667,0.13333333
2830,7,1.1000,0.04782609
1728,3,4.3167,0.03689459
3099,4,0.4833,0.16111111
1812,5,11.1833,0.05855148
1745,7,0.1833,0.06111111
2452,7,0.4500,0.04090909
1222,7,1.3167,0.11969697
2453,6,0.6667,0.01851852
2997,16,2.6833,0.07892157
3098,3,1.8000,0.04615385
2831,5,5.9167,0.10028249
1900,4,3.8000,0.04418605
3400,6,0.4000,0.04444444
3665,5,0.7000,0.03333333
2838,16,7.9500,0.03613636
3631,6,1.3167,0.05984848
3829,4,0.7000,0.05833333
3134,5,1.4167,0.02951389
2664,5,0.3667,0.12222222
2351,4,1.0167,0.08472222
3691,4,0.8167,0.04537037
3741,5,6.1500,0.08092105
2578,3,3.4833,0.20490196
1981,6,3.5167,0.11722222
2152,5,0.6167,0.04743590
692,6,0.1500,0.15000000
1726,5,0.2500,0.12500000
3055,3,0.5667,0.14166667
3132,5,0.5667,0.11333333
1659,3,0.1333,0.13333333
3451,3,0.7500,0.02419355
689,6,0.3000,0.05000000
1700,4,3.3667,0.04208333
3684,5,0.4000,0.13333333
1423,4,1.1667,0.03763441
1414,4,0.5833,0.06481481
3420,4,0.5667,0.04047619
3697,16,0.2167,0.10833333
3449,5,0.5167,0.04305556
2701,5,0.6333,0.07037037
3141,5,25.1167,0.32619048
2159,5,0.6667,0.04444444
942,5,0.1333,0.06666667
1170,4,0.1833,0.04583333
1814,5,4.8000,0.07741935
3133,5,0.2667,0.08888889
3701,16,0.1167,0.11666667
3086,5,0.2167,0.10833333
2262,4,0.1167,0.11666667
3174,5,0.6000,0.06666667
2897,2,0.2500,0.08333333
3696,16,0.1167,0.11666667
1421,5,100.7833,0.21443262
2034,4,0.5500,0.07857143
2406,6,0.2833,0.07083333
1743,7,0.1500,0.02500000
3917,3,0.3667,0.02037037
363,5,0.1333,0.04444444
1991,6,0.5500,0.03055556
2750,16,0.4500,0.11250000
1354,7,2.0167,0.11203704
3421,5,0.9500,0.02878788
1379,5,0.5500,0.13750000
1984,5,0.1333,0.06666667
2003,6,0.5500,0.07857143
1208,5,0.4667,0.07777778
2009,4,2.7667,0.04009662
3739,3,0.2167,0.05416667
1970,10,0.8500,0.02073171
3257,7,0.7667,0.09583333
2987,16,0.4500,0.15000000
1408,3,0.1833,0.09166667
2763,16,0.1000,0.10000000
3270,5,0.1000,0.10000000
1027,5,0.2833,0.04047619
2832,4,0.7000,0.03333333
3144,5,4.8333,0.12083333
1035,6,1.0500,0.08076923
2667,16,0.2000,0.05000000
3880,3,0.9167,0.10185185
1978,3,6.0333,0.06557971
2447,5,2.5000,0.02272727
3019,2,0.1000,0.10000000
2496,6,1.8167,0.05190476
3040,16,0.1000,0.10000000
1429,4,0.3000,0.03750000
553,4,0.1000,0.10000000
2713,2,3.3500,0.04085366
3759,3,0.1000,0.10000000
3435,8,0.1833,0.09166667
1436,5,0.5833,0.04166667
1376,3,1.4333,0.03185185
2871,16,0.1500,0.02500000
3258,5,0.8000,0.03333333
3226,5,92.3833,0.79640805
2815,4,0.2000,0.06666667
3261,5,1.3000,0.10000000
2962,4,0.2167,0.10833333
2382,6,0.6500,0.02708333
3802,7,1.3667,0.02847222
713,7,0.1667,0.08333333
1372,7,0.1000,0.10000000
3649,6,1.3333,0.01826484
2350,4,1.2833,0.02916667
1912,5,0.3500,0.03888889
2462,16,0.2333,0.07777778
533,8,0.1833,0.02037037
2387,6,0.6500,0.05909091
1534,5,0.6667,0.03030303
3554,5,0.4167,0.01543210
573,16,1.3833,0.08645833
2818,5,1.1000,0.03235294
1695,4,0.4500,0.11250000
2956,4,1.1333,0.02635659
3360,5,1.3667,0.01924883
1959,6,0.0833,0.08333333
1383,3,3.3833,0.03677536
